year,iso_code,country,debt_type,prices,units,value
2015,AGO,Angola,Bilateral,current,USD million,596.5666959
2015,ALB,Albania,Bilateral,current,USD million,55.549448
2015,ARG,Argentina,Bilateral,current,USD million,1438.3718295
2015,ARM,Armenia,Bilateral,current,USD million,44.8168587
2015,AZE,Azerbaijan,Bilateral,current,USD million,8.9908992
2015,BEN,Benin,Bilateral,current,USD million,8.508279
2015,BFA,Burkina Faso,Bilateral,current,USD million,61.77315
2015,BGD,Bangladesh,Bilateral,current,USD million,77.46053710000001
2015,BGR,Bulgaria,Bilateral,current,USD million,0.05326
2015,BIH,Bosnia and Herzegovina,Bilateral,current,USD million,14.9161914
2015,BLR,Belarus,Bilateral,current,USD million,2238.815
2015,BLZ,Belize,Bilateral,current,USD million,10.9421164
2015,BOL,Bolivia,Bilateral,current,USD million,10.453759
2015,BRA,Brazil,Bilateral,current,USD million,1082.2201987
2015,BTN,Bhutan,Bilateral,current,USD million,270.6353878
2015,CHN,China,Bilateral,current,USD million,67.1661259
2015,CIV,Cote d'Ivoire,Bilateral,current,USD million,1422.7645475000002
2015,CMR,Cameroon,Bilateral,current,USD million,516.1503811
2015,COD,"Congo, Dem. Rep.",Bilateral,current,USD million,81.34
2015,COG,"Congo, Rep.",Bilateral,current,USD million,114.68423389999995
2015,COL,Colombia,Bilateral,current,USD million,422.4769782
2015,CPV,Cabo Verde,Bilateral,current,USD million,7.967673499999999
2015,CRI,Costa Rica,Bilateral,current,USD million,24.661679499999998
2015,DJI,Djibouti,Bilateral,current,USD million,358.1637382
2015,DMA,Dominica,Bilateral,current,USD million,8.3874177
2015,DOM,Dominican Republic,Bilateral,current,USD million,296.8402467
2015,DZA,Algeria,Bilateral,current,USD million,0.003
2015,ECU,Ecuador,Bilateral,current,USD million,995.0201552000001
2015,EGY,"Egypt, Arab Rep.",Bilateral,current,USD million,6215.1219834
2015,ERI,Eritrea,Bilateral,current,USD million,9.9171598
2015,ETH,Ethiopia,Bilateral,current,USD million,1444.3137519
2015,FJI,Fiji,Bilateral,current,USD million,26.872740600000004
2015,GAB,Gabon,Bilateral,current,USD million,153.6159911
2015,GEO,Georgia,Bilateral,current,USD million,11.821504200000001
2015,GHA,Ghana,Bilateral,current,USD million,307.2841297
2015,GIN,Guinea,Bilateral,current,USD million,185.48734960000002
2015,GMB,"Gambia, The",Bilateral,current,USD million,11.4732787
2015,GRD,Grenada,Bilateral,current,USD million,6.3052288999999995
2015,GTM,Guatemala,Bilateral,current,USD million,21.094
2015,GUY,Guyana,Bilateral,current,USD million,6.472549500000003
2015,HND,Honduras,Bilateral,current,USD million,120.1812982
2015,IDN,Indonesia,Bilateral,current,USD million,955.2991615
2015,IND,India,Bilateral,current,USD million,527.711278
2015,IRQ,Iraq,Bilateral,current,USD million,0.016524500000002718
2015,JAM,Jamaica,Bilateral,current,USD million,35.5374985
2015,JOR,Jordan,Bilateral,current,USD million,324.0755038
2015,KEN,Kenya,Bilateral,current,USD million,968.5071614999999
2015,KGZ,Kyrgyz Republic,Bilateral,current,USD million,208.6329878
2015,KHM,Cambodia,Bilateral,current,USD million,340.3937427
2015,LAO,Lao PDR,Bilateral,current,USD million,634.6194189
2015,LBN,Lebanon,Bilateral,current,USD million,56.5052721
2015,LBR,Liberia,Bilateral,current,USD million,1.215
2015,LCA,St. Lucia,Bilateral,current,USD million,10.1462641
2015,LKA,Sri Lanka,Bilateral,current,USD million,611.7943644
2015,LSO,Lesotho,Bilateral,current,USD million,16.9620762
2015,MAR,Morocco,Bilateral,current,USD million,666.9863696
2015,MDG,Madagascar,Bilateral,current,USD million,88.915
2015,MDV,Maldives,Bilateral,current,USD million,15.7981509
2015,MEX,Mexico,Bilateral,current,USD million,153.1741236
2015,MKD,North Macedonia,Bilateral,current,USD million,71.77936759999999
2015,MLI,Mali,Bilateral,current,USD million,74.9586438
2015,MMR,Myanmar,Bilateral,current,USD million,397.4755026
2015,MNE,Montenegro,Bilateral,current,USD million,209.0157237
2015,MNG,Mongolia,Bilateral,current,USD million,13.413763699999997
2015,MOZ,Mozambique,Bilateral,current,USD million,387.7718423
2015,MRT,Mauritania,Bilateral,current,USD million,448.8948157
2015,MUS,Mauritius,Bilateral,current,USD million,73.6505945
2015,MWI,Malawi,Bilateral,current,USD million,30.8354394
2015,NER,Niger,Bilateral,current,USD million,6.655785699999999
2015,NGA,Nigeria,Bilateral,current,USD million,181.59
2015,NIC,Nicaragua,Bilateral,current,USD million,3.0
2015,NPL,Nepal,Bilateral,current,USD million,22.0905693
2015,PAK,Pakistan,Bilateral,current,USD million,972.6774679
2015,PER,Peru,Bilateral,current,USD million,95.4800355
2015,PHL,Philippines,Bilateral,current,USD million,29.975450500000022
2015,PNG,Papua New Guinea,Bilateral,current,USD million,88.68789740000001
2015,RWA,Rwanda,Bilateral,current,USD million,47.61122399999999
2015,SDN,Sudan,Bilateral,current,USD million,420.4338872
2015,SEN,Senegal,Bilateral,current,USD million,198.31387030000002
2015,SLE,Sierra Leone,Bilateral,current,USD million,15.838717599999999
2015,SLV,El Salvador,Bilateral,current,USD million,36.147000000000006
2015,SRB,Serbia,Bilateral,current,USD million,442.46205940000004
2015,SUR,Suriname,Bilateral,current,USD million,14.9616952
2015,SWZ,Eswatini,Bilateral,current,USD million,27.981
2015,TCD,Chad,Bilateral,current,USD million,9.846
2015,TGO,Togo,Bilateral,current,USD million,107.3953435
2015,THA,Thailand,Bilateral,current,USD million,51.3746833
2015,TJK,Tajikistan,Bilateral,current,USD million,205.1204448
2015,TKM,Turkmenistan,Bilateral,current,USD million,821.8700111999999
2015,TUN,Tunisia,Bilateral,current,USD million,283.7379657
2015,TUR,Turkiye,Bilateral,current,USD million,313.79130200000003
2015,TZA,Tanzania,Bilateral,current,USD million,455.29200309999993
2015,UGA,Uganda,Bilateral,current,USD million,400.6658556
2015,UKR,Ukraine,Bilateral,current,USD million,501.5886891
2015,UZB,Uzbekistan,Bilateral,current,USD million,253.6825678
2015,VCT,St. Vincent and the Grenadines,Bilateral,current,USD million,9.2842105
2015,VNM,Viet Nam,Bilateral,current,USD million,1482.5091496999999
2015,VUT,Vanuatu,Bilateral,current,USD million,81.3801936
2015,WSM,Samoa,Bilateral,current,USD million,11.905645300000002
2015,XKX,Kosovo,Bilateral,current,USD million,23.098202800000003
2015,ZAF,South Africa,Bilateral,current,USD million,279.7873322
2015,ZMB,Zambia,Bilateral,current,USD million,493.26679559999997
2015,ZWE,Zimbabwe,Bilateral,current,USD million,296.70147260000005
2016,AGO,Angola,Bilateral,current,USD million,942.7038713999999
2016,ALB,Albania,Bilateral,current,USD million,54.8810129
2016,ARG,Argentina,Bilateral,current,USD million,263.9589384
2016,ARM,Armenia,Bilateral,current,USD million,96.50796220000001
2016,AZE,Azerbaijan,Bilateral,current,USD million,14.4525817
2016,BEN,Benin,Bilateral,current,USD million,27.8836618
2016,BFA,Burkina Faso,Bilateral,current,USD million,8.8453453
2016,BGD,Bangladesh,Bilateral,current,USD million,359.9061608999999
2016,BIH,Bosnia and Herzegovina,Bilateral,current,USD million,30.255951900000003
2016,BLR,Belarus,Bilateral,current,USD million,1113.24
2016,BLZ,Belize,Bilateral,current,USD million,10.7976591
2016,BOL,Bolivia,Bilateral,current,USD million,98.48
2016,BRA,Brazil,Bilateral,current,USD million,343.3417622
2016,BTN,Bhutan,Bilateral,current,USD million,352.3035263
2016,CHN,China,Bilateral,current,USD million,53.3587138
2016,CIV,Cote d'Ivoire,Bilateral,current,USD million,347.0870098
2016,CMR,Cameroon,Bilateral,current,USD million,774.1749389
2016,COD,"Congo, Dem. Rep.",Bilateral,current,USD million,7.1204672
2016,COG,"Congo, Rep.",Bilateral,current,USD million,336.7125217
2016,COL,Colombia,Bilateral,current,USD million,446.7166956
2016,CPV,Cabo Verde,Bilateral,current,USD million,1.523978
2016,CRI,Costa Rica,Bilateral,current,USD million,26.1398817
2016,DJI,Djibouti,Bilateral,current,USD million,413.76969470000006
2016,DOM,Dominican Republic,Bilateral,current,USD million,63.870138100000005
2016,ECU,Ecuador,Bilateral,current,USD million,2601.5587330000003
2016,EGY,"Egypt, Arab Rep.",Bilateral,current,USD million,8241.2698239
2016,ERI,Eritrea,Bilateral,current,USD million,6.229640000000001
2016,ETH,Ethiopia,Bilateral,current,USD million,1301.3778297
2016,FJI,Fiji,Bilateral,current,USD million,45.4354606
2016,GAB,Gabon,Bilateral,current,USD million,107.78693080000001
2016,GEO,Georgia,Bilateral,current,USD million,33.581463299999996
2016,GHA,Ghana,Bilateral,current,USD million,306.74795659999995
2016,GIN,Guinea,Bilateral,current,USD million,56.8796535
2016,GMB,"Gambia, The",Bilateral,current,USD million,10.1802838
2016,GRD,Grenada,Bilateral,current,USD million,3.2747206
2016,GUY,Guyana,Bilateral,current,USD million,32.9654571
2016,HND,Honduras,Bilateral,current,USD million,38.976784900000006
2016,HTI,Haiti,Bilateral,current,USD million,1.4959999999999951
2016,IDN,Indonesia,Bilateral,current,USD million,832.1739022
2016,IND,India,Bilateral,current,USD million,718.2420032999999
2016,IRN,"Iran, Islamic Rep.",Bilateral,current,USD million,24.4230845
2016,IRQ,Iraq,Bilateral,current,USD million,1666.5268263
2016,JAM,Jamaica,Bilateral,current,USD million,41.814
2016,JOR,Jordan,Bilateral,current,USD million,188.04936410000002
2016,KAZ,Kazakhstan,Bilateral,current,USD million,258.2630133
2016,KEN,Kenya,Bilateral,current,USD million,1362.4570167000002
2016,KGZ,Kyrgyz Republic,Bilateral,current,USD million,187.0003027
2016,KHM,Cambodia,Bilateral,current,USD million,278.9345435
2016,LAO,Lao PDR,Bilateral,current,USD million,525.9025275
2016,LBN,Lebanon,Bilateral,current,USD million,43.29482409999999
2016,LKA,Sri Lanka,Bilateral,current,USD million,592.0179585000001
2016,LSO,Lesotho,Bilateral,current,USD million,19.1768083
2016,MAR,Morocco,Bilateral,current,USD million,936.4238289
2016,MDA,Moldova,Bilateral,current,USD million,66.4020939
2016,MDV,Maldives,Bilateral,current,USD million,319.1105602
2016,MEX,Mexico,Bilateral,current,USD million,398.7057612
2016,MKD,North Macedonia,Bilateral,current,USD million,130.4672407
2016,MLI,Mali,Bilateral,current,USD million,73.9357827
2016,MMR,Myanmar,Bilateral,current,USD million,78.6417573
2016,MNE,Montenegro,Bilateral,current,USD million,37.7002871
2016,MNG,Mongolia,Bilateral,current,USD million,82.6973572
2016,MOZ,Mozambique,Bilateral,current,USD million,234.45466199999998
2016,MRT,Mauritania,Bilateral,current,USD million,78.7084055
2016,MUS,Mauritius,Bilateral,current,USD million,27.76666
2016,MWI,Malawi,Bilateral,current,USD million,7.9479871
2016,NER,Niger,Bilateral,current,USD million,60.47032260000001
2016,NGA,Nigeria,Bilateral,current,USD million,220.406
2016,NIC,Nicaragua,Bilateral,current,USD million,3.285
2016,NPL,Nepal,Bilateral,current,USD million,18.743986
2016,PAK,Pakistan,Bilateral,current,USD million,2104.3480397999997
2016,PER,Peru,Bilateral,current,USD million,36.85993
2016,PHL,Philippines,Bilateral,current,USD million,23.07237639999999
2016,PNG,Papua New Guinea,Bilateral,current,USD million,136.39531219999998
2016,RWA,Rwanda,Bilateral,current,USD million,28.6795641
2016,SDN,Sudan,Bilateral,current,USD million,74.71756429999999
2016,SEN,Senegal,Bilateral,current,USD million,561.2738825
2016,SLE,Sierra Leone,Bilateral,current,USD million,16.7460355
2016,SLV,El Salvador,Bilateral,current,USD million,32.2901849
2016,SRB,Serbia,Bilateral,current,USD million,563.5853315
2016,SUR,Suriname,Bilateral,current,USD million,8.292186899999999
2016,SWZ,Eswatini,Bilateral,current,USD million,64.1685053
2016,TCD,Chad,Bilateral,current,USD million,76.68021829999999
2016,TGO,Togo,Bilateral,current,USD million,102.93668489999999
2016,THA,Thailand,Bilateral,current,USD million,323.8267535
2016,TJK,Tajikistan,Bilateral,current,USD million,185.3260439
2016,TKM,Turkmenistan,Bilateral,current,USD million,2123.4752841
2016,TUN,Tunisia,Bilateral,current,USD million,221.1865563
2016,TUR,Turkiye,Bilateral,current,USD million,157.33066180000003
2016,TZA,Tanzania,Bilateral,current,USD million,227.65541879999998
2016,UGA,Uganda,Bilateral,current,USD million,370.9784281
2016,UKR,Ukraine,Bilateral,current,USD million,150.0
2016,UZB,Uzbekistan,Bilateral,current,USD million,357.5824208
2016,VNM,Viet Nam,Bilateral,current,USD million,1283.9333513000001
2016,VUT,Vanuatu,Bilateral,current,USD million,28.3698345
2016,WSM,Samoa,Bilateral,current,USD million,9.4184719
2016,XKX,Kosovo,Bilateral,current,USD million,24.059692000000002
2016,ZAF,South Africa,Bilateral,current,USD million,96.65711000000002
2016,ZMB,Zambia,Bilateral,current,USD million,595.021056
2016,ZWE,Zimbabwe,Bilateral,current,USD million,193.7486195
2017,AGO,Angola,Bilateral,current,USD million,528.3423582
2017,ALB,Albania,Bilateral,current,USD million,37.4920277
2017,ARG,Argentina,Bilateral,current,USD million,1072.7876818999998
2017,ARM,Armenia,Bilateral,current,USD million,307.6399047
2017,AZE,Azerbaijan,Bilateral,current,USD million,28.6795249
2017,BEN,Benin,Bilateral,current,USD million,39.5128129
2017,BFA,Burkina Faso,Bilateral,current,USD million,0.314065
2017,BGD,Bangladesh,Bilateral,current,USD million,1012.8535309000001
2017,BGR,Bulgaria,Bilateral,current,USD million,112.9730244
2017,BIH,Bosnia and Herzegovina,Bilateral,current,USD million,65.30779190000001
2017,BLR,Belarus,Bilateral,current,USD million,1926.373
2017,BLZ,Belize,Bilateral,current,USD million,15.833817699999999
2017,BOL,Bolivia,Bilateral,current,USD million,274.4408758
2017,BRA,Brazil,Bilateral,current,USD million,8279.1309122
2017,BTN,Bhutan,Bilateral,current,USD million,159.2539855
2017,CHN,China,Bilateral,current,USD million,140.1818619
2017,CIV,Cote d'Ivoire,Bilateral,current,USD million,547.5694435
2017,CMR,Cameroon,Bilateral,current,USD million,850.5224511
2017,COD,"Congo, Dem. Rep.",Bilateral,current,USD million,2.398
2017,COG,"Congo, Rep.",Bilateral,current,USD million,358.44131079999994
2017,COL,Colombia,Bilateral,current,USD million,360.54869429999997
2017,CPV,Cabo Verde,Bilateral,current,USD million,44.8330687
2017,DJI,Djibouti,Bilateral,current,USD million,288.9251977
2017,DOM,Dominican Republic,Bilateral,current,USD million,37.384958399999995
2017,DZA,Algeria,Bilateral,current,USD million,0.5467894
2017,ECU,Ecuador,Bilateral,current,USD million,732.6627218
2017,EGY,"Egypt, Arab Rep.",Bilateral,current,USD million,3448.1351630999998
2017,ERI,Eritrea,Bilateral,current,USD million,3.8863842
2017,ETH,Ethiopia,Bilateral,current,USD million,871.244438
2017,FJI,Fiji,Bilateral,current,USD million,0.95
2017,GAB,Gabon,Bilateral,current,USD million,14.691012200000003
2017,GEO,Georgia,Bilateral,current,USD million,34.7292413
2017,GHA,Ghana,Bilateral,current,USD million,232.77700760000002
2017,GIN,Guinea,Bilateral,current,USD million,19.6954797
2017,GMB,"Gambia, The",Bilateral,current,USD million,3.9896442999999997
2017,GNB,Guinea-Bissau,Bilateral,current,USD million,3.343
2017,GRD,Grenada,Bilateral,current,USD million,2.7196286
2017,GUY,Guyana,Bilateral,current,USD million,44.350637899999995
2017,HND,Honduras,Bilateral,current,USD million,2.424
2017,IDN,Indonesia,Bilateral,current,USD million,990.1660834999999
2017,IND,India,Bilateral,current,USD million,870.2862655000005
2017,IRN,"Iran, Islamic Rep.",Bilateral,current,USD million,99.3342789
2017,IRQ,Iraq,Bilateral,current,USD million,1560.1950682000002
2017,JAM,Jamaica,Bilateral,current,USD million,74.334
2017,JOR,Jordan,Bilateral,current,USD million,263.2484328
2017,KAZ,Kazakhstan,Bilateral,current,USD million,648.555
2017,KEN,Kenya,Bilateral,current,USD million,2295.2142198
2017,KGZ,Kyrgyz Republic,Bilateral,current,USD million,167.231655
2017,KHM,Cambodia,Bilateral,current,USD million,323.27923990000005
2017,LAO,Lao PDR,Bilateral,current,USD million,452.57676639999994
2017,LBN,Lebanon,Bilateral,current,USD million,50.62098379999999
2017,LBR,Liberia,Bilateral,current,USD million,17.9824898
2017,LKA,Sri Lanka,Bilateral,current,USD million,848.1261330000001
2017,LSO,Lesotho,Bilateral,current,USD million,2.247243
2017,MAR,Morocco,Bilateral,current,USD million,695.4312037
2017,MDA,Moldova,Bilateral,current,USD million,101.6757219
2017,MDV,Maldives,Bilateral,current,USD million,99.01045800000001
2017,MEX,Mexico,Bilateral,current,USD million,531.7823125
2017,MKD,North Macedonia,Bilateral,current,USD million,84.4610867
2017,MLI,Mali,Bilateral,current,USD million,28.7241072
2017,MMR,Myanmar,Bilateral,current,USD million,26.407885699999998
2017,MNE,Montenegro,Bilateral,current,USD million,215.7394965
2017,MNG,Mongolia,Bilateral,current,USD million,94.75355920000005
2017,MOZ,Mozambique,Bilateral,current,USD million,290.6599998
2017,MRT,Mauritania,Bilateral,current,USD million,38.4447733
2017,MUS,Mauritius,Bilateral,current,USD million,15.4935503
2017,MWI,Malawi,Bilateral,current,USD million,3.3410672
2017,NER,Niger,Bilateral,current,USD million,49.564678300000004
2017,NGA,Nigeria,Bilateral,current,USD million,359.175
2017,NIC,Nicaragua,Bilateral,current,USD million,0.729
2017,NPL,Nepal,Bilateral,current,USD million,18.7646772
2017,PAK,Pakistan,Bilateral,current,USD million,3328.6657412000004
2017,PER,Peru,Bilateral,current,USD million,120.8289659
2017,PHL,Philippines,Bilateral,current,USD million,9.308593099999996
2017,PNG,Papua New Guinea,Bilateral,current,USD million,120.3172662
2017,PRY,Paraguay,Bilateral,current,USD million,6.533
2017,RWA,Rwanda,Bilateral,current,USD million,29.2059364
2017,SDN,Sudan,Bilateral,current,USD million,41.0601236
2017,SEN,Senegal,Bilateral,current,USD million,341.7742886
2017,SLE,Sierra Leone,Bilateral,current,USD million,6.2437453
2017,SLV,El Salvador,Bilateral,current,USD million,14.0325708
2017,SRB,Serbia,Bilateral,current,USD million,609.85654
2017,SUR,Suriname,Bilateral,current,USD million,71.80456109999999
2017,SWZ,Eswatini,Bilateral,current,USD million,34.7951368
2017,TGO,Togo,Bilateral,current,USD million,46.1971238
2017,THA,Thailand,Bilateral,current,USD million,7.115188899999964
2017,TJK,Tajikistan,Bilateral,current,USD million,114.2089114
2017,TKM,Turkmenistan,Bilateral,current,USD million,1261.1543390000002
2017,TUN,Tunisia,Bilateral,current,USD million,202.4170853
2017,TUR,Turkiye,Bilateral,current,USD million,817.4638477999999
2017,TZA,Tanzania,Bilateral,current,USD million,227.28693529999998
2017,UGA,Uganda,Bilateral,current,USD million,605.539632
2017,UKR,Ukraine,Bilateral,current,USD million,285.9460487
2017,UZB,Uzbekistan,Bilateral,current,USD million,258.182096
2017,VCT,St. Vincent and the Grenadines,Bilateral,current,USD million,10.1285671
2017,VNM,Viet Nam,Bilateral,current,USD million,1510.2512066000004
2017,VUT,Vanuatu,Bilateral,current,USD million,21.3049891
2017,WSM,Samoa,Bilateral,current,USD million,4.6295245
2017,XKX,Kosovo,Bilateral,current,USD million,14.297866
2017,ZAF,South Africa,Bilateral,current,USD million,1060.0209715
2017,ZMB,Zambia,Bilateral,current,USD million,417.676311
