year,iso_code,country,debt_type,prices,units,value
2015,AFG,Afghanistan,Multilateral,constant,USD million,3.9092
2015,AGO,Angola,Multilateral,constant,USD million,460.271
2015,ALB,Albania,Multilateral,constant,USD million,58.6522
2015,ARG,Argentina,Multilateral,constant,USD million,1753.3138
2015,ARM,Armenia,Multilateral,constant,USD million,372.1054
2015,AZE,Azerbaijan,Multilateral,constant,USD million,573.4179
2015,BEN,Benin,Multilateral,constant,USD million,64.2652
2015,BFA,Burkina Faso,Multilateral,constant,USD million,18.8041
2015,BGD,Bangladesh,Multilateral,constant,USD million,486.2052
2015,BGR,Bulgaria,Multilateral,constant,USD million,256.725
2015,BIH,Bosnia and Herzegovina,Multilateral,constant,USD million,330.8285
2015,BLR,Belarus,Multilateral,constant,USD million,103.8092
2015,BLZ,Belize,Multilateral,constant,USD million,39.2441
2015,BOL,Bolivia,Multilateral,constant,USD million,859.1797
2015,BRA,Brazil,Multilateral,constant,USD million,2318.2921
2015,BTN,Bhutan,Multilateral,constant,USD million,21.867
2015,BWA,Botswana,Multilateral,constant,USD million,7.545
2015,CHN,China,Multilateral,constant,USD million,2719.4626
2015,CIV,Cote d'Ivoire,Multilateral,constant,USD million,23.3561
2015,CMR,Cameroon,Multilateral,constant,USD million,59.5959
2015,COD,"Congo, Dem. Rep.",Multilateral,constant,USD million,62.3324
2015,COG,"Congo, Rep.",Multilateral,constant,USD million,9.974
2015,COL,Colombia,Multilateral,constant,USD million,2344.252
2015,CPV,Cabo Verde,Multilateral,constant,USD million,48.5385
2015,CRI,Costa Rica,Multilateral,constant,USD million,445.669
2015,DJI,Djibouti,Multilateral,constant,USD million,37.0259
2015,DMA,Dominica,Multilateral,constant,USD million,11.533
2015,DOM,Dominican Republic,Multilateral,constant,USD million,760.4139
2015,ECU,Ecuador,Multilateral,constant,USD million,2101.5062
2015,EGY,"Egypt, Arab Rep.",Multilateral,constant,USD million,1802.4081
2015,ETH,Ethiopia,Multilateral,constant,USD million,7.749
2015,FJI,Fiji,Multilateral,constant,USD million,0.993
2015,GAB,Gabon,Multilateral,constant,USD million,40.7497
2015,GEO,Georgia,Multilateral,constant,USD million,352.9695
2015,GHA,Ghana,Multilateral,constant,USD million,235.3529
2015,GIN,Guinea,Multilateral,constant,USD million,10.4676
2015,GMB,"Gambia, The",Multilateral,constant,USD million,12.8228
2015,GNB,Guinea-Bissau,Multilateral,constant,USD million,44.4823
2015,GRD,Grenada,Multilateral,constant,USD million,25.924
2015,GTM,Guatemala,Multilateral,constant,USD million,702.2003
2015,GUY,Guyana,Multilateral,constant,USD million,19.499
2015,HND,Honduras,Multilateral,constant,USD million,275.3916
2015,HTI,Haiti,Multilateral,constant,USD million,7.265
2015,IDN,Indonesia,Multilateral,constant,USD million,3972.1179
2015,IND,India,Multilateral,constant,USD million,3344.9831
2015,IRN,"Iran, Islamic Rep.",Multilateral,constant,USD million,9.8642
2015,IRQ,Iraq,Multilateral,constant,USD million,1207.846
2015,JAM,Jamaica,Multilateral,constant,USD million,320.779
2015,JOR,Jordan,Multilateral,constant,USD million,571.0103
2015,KAZ,Kazakhstan,Multilateral,constant,USD million,1375.043
2015,KEN,Kenya,Multilateral,constant,USD million,8.0588
2015,KGZ,Kyrgyz Republic,Multilateral,constant,USD million,14.0824
2015,KHM,Cambodia,Multilateral,constant,USD million,8.457
2015,LAO,Lao PDR,Multilateral,constant,USD million,0.001
2015,LBN,Lebanon,Multilateral,constant,USD million,102.3719
2015,LBR,Liberia,Multilateral,constant,USD million,19.1492
2015,LCA,St. Lucia,Multilateral,constant,USD million,5.738
2015,LKA,Sri Lanka,Multilateral,constant,USD million,430.0223
2015,LSO,Lesotho,Multilateral,constant,USD million,40.9804
2015,MAR,Morocco,Multilateral,constant,USD million,1654.8306
2015,MDA,Moldova,Multilateral,constant,USD million,100.6328
2015,MDG,Madagascar,Multilateral,constant,USD million,3.317
2015,MDV,Maldives,Multilateral,constant,USD million,3.471
2015,MEX,Mexico,Multilateral,constant,USD million,1506.783
2015,MKD,North Macedonia,Multilateral,constant,USD million,188.7201
2015,MLI,Mali,Multilateral,constant,USD million,23.8997
2015,MNE,Montenegro,Multilateral,constant,USD million,22.5899
2015,MNG,Mongolia,Multilateral,constant,USD million,116.713
2015,MOZ,Mozambique,Multilateral,constant,USD million,10.0214
2015,MRT,Mauritania,Multilateral,constant,USD million,212.4741
2015,MUS,Mauritius,Multilateral,constant,USD million,1.4203
2015,MWI,Malawi,Multilateral,constant,USD million,4.276
2015,NER,Niger,Multilateral,constant,USD million,199.9683
2015,NGA,Nigeria,Multilateral,constant,USD million,523.1186
2015,NIC,Nicaragua,Multilateral,constant,USD million,233.065
2015,NPL,Nepal,Multilateral,constant,USD million,7.018
2015,PAK,Pakistan,Multilateral,constant,USD million,2548.6317
2015,PER,Peru,Multilateral,constant,USD million,1225.0685
2015,PHL,Philippines,Multilateral,constant,USD million,1844.233
2015,PNG,Papua New Guinea,Multilateral,constant,USD million,72.507
2015,PRY,Paraguay,Multilateral,constant,USD million,182.8745
2015,RUS,Russian Federation,Multilateral,constant,USD million,80.535
2015,RWA,Rwanda,Multilateral,constant,USD million,9.145
