year,modality,value
2017,C01,0.0
2017,,8578.33462929764
2018,A01,0.0
2018,C01,3814.499483347621
2018,F01,0.0
2018,G01,19.441338986302082
2018,H01,0.0
2018,,7499.037318667561
2019,C01,6054.597366999999
2019,G01,21.231805
2019,,7507.389003
2020,C01,7046.66268975197
2020,D02,0.0
2020,G01,24.595703320402556
2020,,1690.2684608666377
2021,B01,26.141611765412318
2021,B03,0.0
2021,C01,8166.366707745492
2021,D02,0.0
2021,G01,27.08006354431895
2021,,1898.1906508275433
2022,B04,38.44716621051648
2022,C01,7585.030981281323
2022,G01,23.795291271215593
2022,,3003.348263178984
